timestamp,channel1,channel2,channel3,channel4,channel5,label1,label2,fault_type,fault_desc,product_type,uid
2024-06-15 08:00:00,-0.9523894433829583,-0.9473598877173399,0.06818514034143007,0.28219975602413067,-1.6959837443286894,0,0,normal,正常运行,M,1
2024-06-15 08:01:00,-0.9023934097553371,-0.8799590021118113,-0.7294715051501507,0.6333080199205777,-1.6488517007812828,0,0,normal,正常运行,L,2
2024-06-15 08:02:00,-0.9523894433829583,-1.014760773322907,-0.2274498401554495,0.9442896250860024,-1.6174303384163453,0,0,normal,正常运行,L,3
2024-06-15 08:03:00,-0.9023934097553371,-0.9473598877173399,-0.5900210426516226,-0.04884517850680491,-1.5860089760514078,0,0,normal,正常运行,L,4
2024-06-15 08:04:00,-0.9023934097553371,-0.8799590021118113,-0.7294715051501507,0.0013131449069732513,-1.55458761368647,0,0,normal,正常运行,L,5
2024-06-15 08:05:00,-0.9523894433829583,-0.9473598877173399,-0.6346451906511515,0.1919147738793301,-1.5231662513215325,0,0,normal,正常运行,M,6
2024-06-15 08:06:00,-0.9523894433829583,-0.9473598877173399,0.10723126984101794,0.24207309729310825,-1.4760342077741262,0,0,normal,正常运行,L,7
2024-06-15 08:07:00,-0.9523894433829583,-0.9473598877173399,-0.0656873036571569,0.021376474272484798,-1.4446128454091884,0,0,normal,正常运行,L,8
2024-06-15 08:08:00,-0.8523973761276875,-0.8799590021118113,0.7152352863346004,-1.1422966289271685,-1.413191483044251,0,0,normal,正常运行,M,9
2024-06-15 08:09:00,-0.7524053088724167,-0.6777563452951486,1.1280086553302437,-1.2024866170237025,-1.3660594394968446,0,0,normal,正常运行,M,10
2024-06-15 08:10:00,-0.8024013425000663,-0.7451572309007156,1.3567074138278297,-1.6137848690166836,-1.318927395949438,0,0,normal,正常运行,H,11
2024-06-15 08:11:00,-0.7024092752447672,-0.6103554596895817,-0.6458012276510338,0.4326747262654651,-1.240373990037094,0,0,normal,正常运行,H,12
2024-06-15 08:12:00,-0.7024092752447672,-0.6103554596895817,-1.1143547816460881,1.1148279246928485,-1.1618205841247502,0,0,normal,正常运行,M,13
2024-06-15 08:13:00,-0.7024092752447672,-0.542954574084053,1.1335866738301847,-1.0018533233685898,-1.1146885405773437,0,0,normal,正常运行,M,14
2024-06-15 08:14:00,-0.7024092752447672,-0.542954574084053,2.767946094312934,-2.0451464503751753,-1.0675564970299374,0,0,normal,正常运行,L,15
2024-06-15 08:15:00,-0.7024092752447672,-0.542954574084053,0.017982973841959956,0.8439729782584461,-1.0361351346649996,0,0,normal,正常运行,L,16
2024-06-15 08:16:00,-0.7024092752447672,-0.542954574084053,-1.2705392996444398,0.663403013968845,-1.004713772300062,0,0,normal,正常运行,M,17
2024-06-15 08:17:00,-0.652413241617146,-0.542954574084053,-0.7183154681502684,0.5630863671412888,-0.9575817287526557,0,0,normal,正常运行,M,18
2024-06-15 08:18:00,-0.6024172079894964,-0.542954574084053,-1.2984293921441452,1.4559045239065398,-0.9104496852052493,0,0,normal,正常运行,H,19
2024-06-15 08:19:00,-0.5524211743618752,-0.47555368847848606,0.5200046388366611,-0.7510617062996991,-0.8318962792929053,0,0,normal,正常运行,M,20
2024-06-15 08:20:00,-0.5524211743618752,-0.47555368847848606,-0.9135461156482078,0.2721680913413756,-0.7847642357454989,0,0,normal,正常运行,H,21
2024-06-15 08:21:00,-0.6024172079894964,-0.47555368847848606,-0.49519472815262344,0.4828330496792433,-0.7062108298331549,0,0,normal,正常运行,L,22
2024-06-15 08:22:00,-0.5524211743618752,-0.47555368847848606,0.2355256953396638,-0.9316316705893005,-0.6747894674682173,0,0,normal,正常运行,M,23
2024-06-15 08:23:00,-0.5024251407342256,-0.4081528028729574,1.2228349698292427,-1.4332149047270821,-0.6276574239208109,0,0,normal,正常运行,L,24
2024-06-15 08:24:00,-0.5024251407342256,-0.4081528028729574,0.12396532534084131,-0.26954180152742907,-0.5962360615558733,0,0,normal,正常运行,M,25
2024-06-15 08:25:00,-0.5024251407342256,-0.3407519172673904,1.7973708753231785,-1.6739748571132171,-0.5491040180084669,0,0,normal,正常运行,L,26
2024-06-15 08:26:00,-0.452429107106576,-0.3407519172673904,-0.14935758115627376,-0.09900350192058306,-0.5176826556435293,0,0,normal,正常运行,L,27
2024-06-15 08:27:00,-0.452429107106576,-0.4081528028729574,1.5184699503261223,-1.5435632162373938,-0.48626129327859174,0,0,normal,正常运行,H,28
2024-06-15 08:28:00,-0.452429107106576,-0.4081528028729574,-0.5565529316519758,0.42264306158271003,-0.40770788736624775,0,0,normal,正常运行,L,29
